Timestamp,Solar Altitude,Solar Azimuth,Solar Incidence
2010-01-12 23:10:00,-65.395325,347.152469,0
2010-01-13 00:10:00,-64.542669,20.226034,0
2010-01-13 01:10:00,-58.68042,47.180526,0
2010-01-13 02:10:00,-49.937156,65.997647,0
2010-01-13 03:10:00,-39.951581,79.851731,0
2010-01-13 04:10:00,-29.543239,91.203724,0
2010-01-13 05:10:00,-19.166706,101.46655,0
2010-01-13 06:10:00,-9.153561,111.502804,0
2010-01-13 07:10:00,0.17744,121.91919,0
2010-01-13 08:10:00,8.462603,133.186943,35.642223
2010-01-13 09:10:00,15.266075,145.642998,48.532138
2010-01-13 10:10:00,20.096136,159.389657,59.827184
2010-01-13 11:10:00,22.493299,174.148385,66.989104
2010-01-13 12:10:00,22.184021,189.235086,65.960961
2010-01-13 13:10:00,19.205553,203.812936,57.513093
2010-01-13 14:10:00,13.887477,217.277555,45.718848
2010-01-13 15:10:00,6.708434,229.446231,32.628378
2010-01-13 16:10:00,-1.847698,240.487043,0
2010-01-13 17:10:00,-11.361888,250.772605,0
2010-01-13 18:10:00,-21.48404,260.8007,0
2010-01-13 19:10:00,-31.898761,271.220252,0
2010-01-13 20:10:00,-42.259299,282.984179,0
2010-01-13 21:10:00,-52.057196,297.694427,0
2010-01-13 22:10:00,-60.333314,318.094833,0
2010-01-13 23:10:00,-65.21653,347.01415,0
2010-01-14 00:10:00,-64.396823,19.931972,0
2010-01-14 01:10:00,-58.581793,46.861342,0
2010-01-14 02:10:00,-49.868503,65.717235,0
2010-01-14 03:10:00,-39.896843,79.610105,0
2010-01-14 04:10:00,-29.49179,90.989703,0
2010-01-14 05:10:00,-19.111232,101.270639,0
2010-01-14 06:10:00,-9.088368,111.318587,0
2010-01-14 07:10:00,0.257277,121.743237,0
2010-01-14 08:10:00,8.56145,133.019074,35.613119
2010-01-14 09:10:00,15.387298,145.48699,48.53791
2010-01-14 10:10:00,20.241014,159.253464,59.889309
2010-01-14 11:10:00,22.659757,174.042137,67.134326
2010-01-14 12:10:00,22.366467,189.166344,66.153905
2010-01-14 13:10:00,19.396641,203.782626,57.690067
2010-01-14 14:10:00,14.080672,217.280573,45.869499
2010-01-14 15:10:00,6.89949,229.475258,32.757009
2010-01-14 16:10:00,-1.660694,240.53567,0
2010-01-14 17:10:00,-11.179083,250.836408,0
2010-01-14 18:10:00,-21.304337,260.876946,0
2010-01-14 19:10:00,-31.720071,271.306747,0
2010-01-14 20:10:00,-42.078597,283.07648,0
2010-01-14 21:10:00,-51.870919,297.777718,0
2010-01-14 22:10:00,-60.140543,318.121277,0
2010-01-14 23:10:00,-65.03114,346.88474,0
2010-01-15 00:10:00,-64.243333,19.641342,0
2010-01-15 01:10:00,-58.47563,46.539968,0
2010-01-15 02:10:00,-49.792889,65.432629,0
2010-01-15 03:10:00,-39.835587,79.364046,0
2010-01-15 04:10:00,-29.434052,90.771521,0
2010-01-15 05:10:00,-19.049527,101.070954,0
2010-01-15 06:10:00,-9.016876,111.131022,0
2010-01-15 07:10:00,0.34357,121.564422,0
2010-01-15 08:10:00,8.66696,132.848964,35.587391
2010-01-15 09:10:00,15.515381,145.329593,48.547771
2010-01-15 10:10:00,20.39285,159.117046,59.956541
2010-01-15 11:10:00,22.833077,173.937113,67.285935
2010-01-15 12:10:00,22.555413,189.100343,66.352364
2010-01-15 13:10:00,19.593636,203.756349,57.869796
2010-01-15 14:10:00,14.279069,217.288528,46.02103
2010-01-15 15:10:00,7.095056,229.509787,32.885392
2010-01-15 16:10:00,-1.469767,240.590166,0
2010-01-15 17:10:00,-10.992796,250.906399,0
2010-01-15 18:10:00,-21.121418,260.959768,0
2010-01-15 19:10:00,-31.538227,271.40036,0
2010-01-15 20:10:00,-41.894545,283.176664,0
2010-01-15 21:10:00,-51.680738,297.869879,0
2010-01-15 22:10:00,-59.942821,318.157485,0
2010-01-15 23:10:00,-64.839264,346.764276,0
2010-01-16 00:10:00,-64.08227,19.354517,0
2010-01-16 01:10:00,-58.36194,46.216815,0
2010-01-16 02:10:00,-49.710294,65.14413,0
2010-01-16 03:10:00,-39.767789,79.113772,0
2010-01-16 04:10:00,-29.370008,90.549344,0
2010-01-16 05:10:00,-18.981584,100.867633,0
2010-01-16 06:10:00,-8.93909,110.940228,0
2010-01-16 07:10:00,0.436303,121.382848,0
2010-01-16 08:10:00,8.779099,132.676703,35.565039
2010-01-16 09:10:00,15.650275,145.170886,48.561686
2010-01-16 10:10:00,20.551585,158.980476,60.02881
2010-01-16 11:10:00,23.013184,173.83338,67.443861
2010-01-16 12:10:00,22.750773,189.037148,66.556237
2010-01-16 13:10:00,19.796442,203.734161,58.052127
2010-01-16 14:10:00,14.482563,217.301461,46.173294
2010-01-16 15:10:00,7.295026,229.549836,33.0134
2010-01-16 16:10:00,-1.275024,240.650531,0
2010-01-16 17:10:00,-10.803128,250.982559,0
2010-01-16 18:10:00,-20.935379,261.049124,0
2010-01-16 19:10:00,-31.353318,271.501024,0
2010-01-16 20:10:00,-41.707226,283.284635,0
2010-01-16 21:10:00,-51.486737,297.970776,0
2010-01-16 22:10:00,-59.740246,318.20331,0
2010-01-16 23:10:00,-64.641014,346.652779,0
2010-01-17 00:10:00,-63.913714,19.071849,0
2010-01-17 01:10:00,-58.240737,45.89229,0
2010-01-17 02:10:00,-49.620703,64.852042,0
2010-01-17 03:10:00,-39.693427,78.859506,0
2010-01-17 04:10:00,-29.299643,90.323346,0
2010-01-17 05:10:00,-18.907398,100.660818,0
2010-01-17 06:10:00,-8.855017,110.746323,0
2010-01-17 07:10:00,0.535452,121.198621,0
2010-01-17 08:10:00,8.897833,132.502382,35.546059
2010-01-17 09:10:00,15.791932,145.010951,48.579616
2010-01-17 10:10:00,20.717157,158.843827,60.106038
2010-01-17 11:10:00,23.200005,173.731009,67.608029
2010-01-17 12:10:00,22.95246,188.976824,66.765424
2010-01-17 13:10:00,20.004961,203.716118,58.236901
2010-01-17 14:10:00,14.691048,217.319411,46.326138
2010-01-17 15:10:00,7.499291,229.595424,33.140905
2010-01-17 16:10:00,-1.076572,240.716761,0
2010-01-17 17:10:00,-10.610184,251.064864,0
2010-01-17 18:10:00,-20.746318,261.144969,0
2010-01-17 19:10:00,-31.165434,271.608672,0
2010-01-17 20:10:00,-41.516726,283.400293,0
2010-01-17 21:10:00,-51.289002,298.080269,0
2010-01-17 22:10:00,-59.532913,318.258593,0
2010-01-17 23:10:00,-64.436502,346.550252,0
2010-01-18 00:10:00,-63.737747,18.793671,0
2010-01-18 01:10:00,-58.112041,45.566796,0
2010-01-18 02:10:00,-49.524104,64.556669,0
2010-01-18 03:10:00,-39.612485,78.601469,0
2010-01-18 04:10:00,-29.222944,90.093698,0
2010-01-18 05:10:00,-18.826968,100.45065,0
2010-01-18 06:10:00,-8.764669,110.549429,0
2010-01-18 07:10:00,0.640992,121.011843,0
