Longitude,Latitude,Time,Power ⌁,Power ⌁ without Loss,Efficiency ⋅,Global ⤋ ⭍,Direct ⇣ ⭍,Sky-Diffuse 🗤 ⭍,Ground-Diffuse ⭞ ⭍,Spectral effect ±,Spectral effect ± ％,Spectral factor,Global ⤋ ∡ ☉,Direct ⇣ ∡ ☉,Sky-Diffuse 🗤 ∡ ☉,Ground-Diffuse ⭞ ∡ ☉,Global ⤋ -⭜,Direct ⇣ -⭜,Sky-Diffuse 🗤 -⭜,Ground-Diffuse ⭞ -⭜,Global ⤋ ∡,Direct ⇣ ∡,Sky-Diffuse 🗤 ∡,Ground-Diffuse ⭞ ∡,Sky-Diffuse Horizontal 🗤⭳,Direct Horizontal ⇣ ⭳,Extra Horizontal ⍖ ⭳,Extra Normal ⍖ ⦜,Linke Turbidity ⋅,Refracted alt. ⦧ ⦩,Temperature 🌡,Wind speed 🌬,Altitude ⦩,Azimuth 󱦥,Incidence ⭸,Sun-Horizon ⛰,Shading state 🮞,In-shade 🮞,Horizon ⛰,Visible 👁,Outbound ⊖,Outbound ⊖ i
8.628,45.812000000000005,2010-03-18 18:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.994,2.0,-5.2613,14.0,0.0,nan,4.7782,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-18 19:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.994,2.0,-15.5933,14.0,0.0,nan,4.9729,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-18 20:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.994,2.0,-25.3385,14.0,0.0,nan,5.186,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-18 21:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.994,2.0,-33.9731,14.0,0.0,nan,5.4331,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-18 22:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.994,2.0,-40.7262,14.0,0.0,nan,5.728,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-18 23:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.994,2.0,-44.6286,14.0,0.0,nan,6.0723,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 00:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-44.8757,14.0,0.0,nan,0.161,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 01:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-41.4074,14.0,0.0,nan,0.5104,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 02:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-34.9607,14.0,0.0,nan,0.8119,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 03:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-26.512,14.0,0.0,nan,1.0643,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 04:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-16.8635,14.0,0.0,nan,1.2808,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 05:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-6.571,14.0,0.0,nan,1.4766,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 06:00:00,34.0335,39.5738,0.866,39.5738,24.6647,13.7645,1.1446,0.0,0.0,1.0,71.2185,53.7293,16.0621,1.4272,-25.5204,-25.2476,-0.1674,-0.1054,45.6982,28.4817,15.8947,1.3217,18.6862,32.164,96.4588,1373.2424,2.0,4.0279,14.0,0.0,0.0703,1.6674,0.1176,Above,Potentially-sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 07:00:00,257.4753,299.3899,0.9561,299.3899,247.74,45.9825,5.6674,0.0,0.0,1.0,341.3195,286.3179,48.6009,6.4007,-28.1781,-27.1988,-0.5064,-0.4729,313.1414,259.1191,48.0945,5.9278,37.2675,190.7906,336.0245,1373.2424,2.0,14.1638,14.0,0.0,0.2472,1.8586,0.376,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 08:00:00,488.5698,568.1044,0.9333,568.1044,495.6139,62.3263,10.1643,0.0,0.0,1.0,622.8633,543.6163,67.4869,11.7602,-14.1292,-12.5571,-0.7032,-0.8689,608.7342,531.0593,66.7837,10.8912,50.1432,368.8744,554.208,1373.2424,2.0,23.802,14.0,0.0,0.4154,2.0703,0.637,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 09:00:00,665.028,773.2883,0.9026,773.2883,689.0551,70.539,13.6942,0.0,0.0,1.0,864.9698,769.6086,78.9779,16.3833,-8.1909,-6.1575,-0.8229,-1.2105,856.7789,763.4511,78.155,15.1728,57.8527,525.8879,733.9673,1373.2424,2.0,32.3085,14.0,0.0,0.5639,2.315,0.8982,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 10:00:00,781.1345,908.2958,0.8779,908.2958,818.4741,73.7643,16.0574,0.0,0.0,1.0,1041.0125,936.3505,84.9113,19.7507,-6.3511,-4.007,-0.8847,-1.4593,1034.6615,932.3434,84.0266,18.2914,61.767,641.9562,862.8012,1373.2424,2.0,38.9245,14.0,0.0,0.6794,2.605,1.1591,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 11:00:00,839.5762,976.2513,0.8641,976.2513,884.3561,74.6378,17.2575,0.0,0.0,1.0,1135.7109,1026.8551,87.2898,21.566,-5.8683,-3.3654,-0.9095,-1.5935,1129.8427,1023.4897,86.3804,19.9726,63.3118,705.0918,931.8758,1373.2424,2.0,42.734,14.0,0.0,0.7458,2.9422,1.4175,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 12:00:00,843.1971,980.4617,0.8632,980.4617,888.4617,74.6635,17.3366,0.0,0.0,1.0,1141.7297,1032.6328,87.4098,21.6871,-5.847,-3.3339,-0.9107,-1.6024,1135.8827,1029.299,86.4991,20.0847,63.401,709.3173,936.4775,1373.2424,2.0,42.9959,14.0,0.0,0.7504,3.2934,1.4506,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 13:00:00,792.2164,921.1819,0.8753,921.1819,830.9429,73.9406,16.2984,0.0,0.0,1.0,1058.6332,953.1661,85.3617,20.1053,-6.2429,-3.868,-0.8894,-1.4855,1052.3903,949.2981,84.4723,18.6198,62.0996,654.2592,876.3103,1373.2424,2.0,39.6527,14.0,0.0,0.6921,3.6366,1.1935,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 14:00:00,684.0552,795.413,0.8987,795.413,710.1609,71.1487,14.1034,0.0,0.0,1.0,892.8265,795.8845,79.9977,16.9442,-7.8035,-5.7181,-0.8335,-1.252,885.0229,790.1664,79.1642,15.6922,58.601,545.1254,755.5134,1373.2424,2.0,33.3785,14.0,0.0,0.5826,3.9335,0.9327,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 15:00:00,515.762,599.7232,0.9291,599.7232,525.2045,63.7832,10.7356,0.0,0.0,1.0,658.4428,576.5923,69.3737,12.4768,-12.9505,-11.3058,-0.7228,-0.9219,645.4922,565.2865,68.6509,11.5549,51.5255,393.0246,582.4009,1373.2424,2.0,25.0941,14.0,0.0,0.438,4.1841,0.6715,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 16:00:00,290.8266,338.1704,0.9548,338.1704,283.0893,48.7303,6.3508,0.0,0.0,1.0,380.2227,321.463,51.5771,7.1825,-26.0256,-24.9576,-0.5374,-0.5307,354.1971,296.5055,51.0398,6.6518,39.4613,216.4537,369.0055,1373.2424,2.0,15.5876,14.0,0.0,0.2721,4.3998,0.4105,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 17:00:00,54.7839,63.7022,0.9015,63.7022,44.2984,17.7176,1.6862,0.0,0.0,1.0,101.0601,79.1797,19.8606,2.0197,-30.3967,-30.0405,-0.2069,-0.1492,70.6634,49.1392,19.6537,1.8705,21.682,50.2821,131.3526,1373.2424,2.0,5.4889,14.0,0.0,0.0958,4.5938,0.1512,Above,Potentially-sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-19 18:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-5.0265,14.0,0.0,nan,4.7839,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 19:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-15.351,14.0,0.0,nan,4.9787,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 20:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-25.0745,14.0,0.0,nan,5.1919,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 21:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-33.6751,14.0,0.0,nan,5.4387,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 22:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-40.3857,14.0,0.0,nan,5.7329,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-19 23:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1373.2424,2.0,-44.2482,14.0,0.0,nan,6.0755,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-20 00:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1372.4872,2.0,-44.4744,14.0,0.0,nan,0.1618,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-20 01:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1372.4872,2.0,-41.01,14.0,0.0,nan,0.5089,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-20 02:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1372.4872,2.0,-34.5814,14.0,0.0,nan,0.8091,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-20 03:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1372.4872,2.0,-26.1524,14.0,0.0,nan,1.0608,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-20 04:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1372.4872,2.0,-16.5185,14.0,0.0,nan,1.277,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-20 05:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1372.4872,2.0,-6.2314,14.0,0.0,nan,1.4728,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-03-20 06:00:00,35.6549,41.4592,0.8698,41.4592,26.0622,14.1473,1.2497,0.0,0.0,1.0,74.1186,56.13,16.437,1.5515,-26.4509,-26.165,-0.1713,-0.1146,47.6676,29.965,16.2658,1.4369,19.3518,35.9287,104.1792,1372.4872,2.0,4.3533,14.0,0.0,0.076,1.6633,0.1189,Above,Potentially-sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-20 07:00:00,260.4223,302.8167,0.956,302.8167,250.855,46.1319,5.8297,0.0,0.0,1.0,345.0126,289.6654,48.7627,6.5845,-28.2618,-27.2672,-0.5081,-0.4865,316.7508,262.3982,48.2546,6.098,37.7842,196.8234,343.7945,1372.4872,2.0,14.5065,14.0,0.0,0.2532,1.8548,0.3776,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-20 08:00:00,490.9747,570.9008,0.9329,570.9008,498.2948,62.2794,10.3265,0.0,0.0,1.0,626.0801,546.6656,67.4621,11.9525,-14.1144,-12.5283,-0.7029,-0.8831,611.9658,534.1373,66.7592,11.0693,50.5063,375.3634,561.7394,1372.4872,2.0,24.16,14.0,0.0,0.4217,2.0668,0.6386,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-20 09:00:00,666.7983,775.3468,0.9022,775.3468,691.1384,70.3612,13.8472,0.0,0.0,1.0,867.5818,772.1998,78.8094,16.5727,-8.189,-6.1433,-0.8211,-1.2245,859.3929,766.0565,77.9883,15.3482,58.0901,532.4,741.191,1372.4872,2.0,32.686,14.0,0.0,0.5705,2.3121,0.8999,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-03-20 10:00:00,782.3859,909.751,0.8776,909.751,820.0411,73.5096,16.2003,0.0,0.0,1.0,1043.0138,938.4351,84.6458,19.9329,-6.3574,-4.0027,-0.8819,-1.4728,1036.6564,934.4324,83.7638,18.4601,61.916,648.3002,869.6835,1372.4872,2.0,39.3203,14.0,0.0,0.6863,2.6034,1.1611,Above,Sunlit,False,0.0,True,False,-1
